Chemical	Batch	17.16_575.4057m/z	16.71_289.1796m/z	11.32_307.1692m/z	14.41_295.1664m/z	13.00_307.1709m/z	11.00_299.2016m/z	17.65_371.2204m/z	10.73_287.2364m/z	15.99_633.4181m/z	16.62_399.2143m/z	10.38_329.2079m/z	11.97_317.2099m/z	10.60_329.2117m/z	14.41_307.2258m/z	14.27_313.2143m/z	14.94_271.1684m/z	9.56_255.2105m/z	11.86_329.2099m/z	11.62_329.2107m/z	12.54_333.1693m/z	14.37_311.1972m/z	16.88_571.4469m/z	10.26_304.2043n	12.86_285.1833m/z	15.05_311.1978m/z	11.57_323.1611m/z	17.77_271.1680m/z	14.04_315.2299m/z	14.16_325.1413m/z	13.89_307.2266m/z	14.66_573.3221m/z	15.55_315.2329m/z	16.05_313.2176m/z	8.55_345.2052m/z	8.55_327.1939m/z	9.71_285.1840m/z	6.52_721.3918m/z	8.90_361.2017m/z	15.33_315.2285m/z	12.81_307.1690m/z	11.89_289.2167m/z	13.97_315.1581m/z	9.74_333.2422m/z	10.43_285.1860m/z	14.64_663.3891m/z	15.80_315.2290m/z	9.05_269.1902m/z	8.50_363.2158m/z	16.25_385.2356m/z	14.47_349.1781m/z	12.63_301.1808m/z	10.90_333.1680m/z	10.90_339.1936m/z	15.23_295.1657m/z	15.99_299.1999m/z	17.03_285.2216m/z	16.46_601.4983m/z	8.55_317.1733m/z	17.24_289.1797m/z	10.93_317.2118m/z	13.28_363.2149m/z	15.05_299.1628m/z	11.32_389.2301m/z	11.87_287.1633m/z	14.93_313.2150m/z	8.40_325.1775m/z	13.70_305.2102m/z	16.05_313.2143m/z	15.60_315.2290m/z	6.65_317.2116m/z	10.09_329.2092m/z	15.72_325.1777m/z	9.44_371.2192m/z	9.64_693.4364m/z	9.84_287.1999m/z	13.64_329.2101m/z	8.41_303.1959m/z	17.38_335.2567m/z	17.01_307.2258m/z	14.09_331.1525m/z	12.85_315.1605m/z	7.74_369.2048m/z	7.68_751.4359m/z	9.57_357.2408m/z	15.41_288.1716n	12.95_337.2144m/z	8.72_344.1995n	10.95_271.2065m/z	16.52_331.2046m/z	12.93_315.2325m/z	15.28_313.2141m/z	12.07_288.2082n	14.16_721.3928m/z	14.04_311.1982m/z	16.72_343.1886m/z	14.64_272.1768n	6.38_385.1989m/z	13.72_271.1680m/z	13.06_316.2399n	15.73_357.2406m/z	12.98_299.1632m/z	10.58_317.2111m/z	11.62_305.2112m/z	6.30_401.1919m/z	12.91_339.2289m/z	6.28_379.2108m/z	9.10_331.2267m/z	7.68_747.4079m/z	13.05_316.2404n	8.38_304.2044n	7.59_304.2043n	9.77_289.1786m/z	9.39_332.2351n	10.85_377.2310m/z	17.36_376.2236n	8.90_320.1989n	10.58_359.2209m/z	10.34_289.2163m/z	8.10_348.2295n	10.93_330.2198n	10.34_449.3141n	9.39_304.2053n	8.16_302.1878n	10.73_332.2353n	7.63_362.2101n	9.04_715.4198m/z	10.48_330.2196n	10.83_286.1938n	14.64_399.1788m/z	9.04_346.2148n
TOR	1	195.0919892	231.8669995	163.8436641	84.82983539	180.0984721	270.2640146	136.4585173	136.215164	253.3302721	160.9682562	32.31494527	239.9605575	100.8438919	234.1166866	307.4090958	260.7450802	0	172.7810145	144.5787664	284.3438063	278.6272313	217.2204286	248.5212348	317.6931473	299.0625474	365.4864201	313.6747345	208.2812877	285.8692101	309.4513763	273.9157277	377.6725672	278.8337499	240.6770988	389.4823509	412.2936093	500.4080158	356.1132547	456.5001721	328.7467704	0	419.9422031	164.5020934	220.0080508	13.83801217	522.0243315	499.3872741	398.7434882	234.7826842	549.4806679	585.8041118	629.4975182	198.2085974	629.7279733	604.7255001	657.5729593	295.2415262	652.350821	684.7833019	224.2724689	639.3302201	655.8478221	403.3660251	643.9085202	541.4596221	651.2368168	540.8799882	804.9902085	862.8770235	251.7706328	91.11819623	778.2196433	136.3712654	5.505684582	1004.339433	1045.641328	637.9716797	1021.558024	1268.638483	1247.874532	1408.973955	1053.024638	102.1958083	182.5510586	1553.049132	1803.297129	1343.047474	675.5855827	1844.77821	1368.958466	1320.356416	745.9489047	1238.457554	2879.875324	2542.645106	2288.390782	178.9737156	2175.341452	107.0131294	2827.110981	2775.588569	0	63.17722554	3089.366185	3678.844463	3258.356312	2431.245875	87.8711021	5097.414564	4634.072763	2458.802732	5621.147294	3370.852556	5836.725648	233.3393283	6516.454798	16.77210623	5773.65293	2162.108082	8603.755017	11114.75153	336.8076533	5564.848177	11675.77307	28196.1315	9019.414056	64435.59025	46772.38204	345.7443977	194653.0052
TOR	1	232.3654887	223.5074226	220.8548064	75.33785139	262.8618585	192.6266195	234.3946555	108.8612008	256.2633603	117.2834894	25.71912492	186.9243534	68.77266703	263.1990638	251.7728491	313.8187073	0.694766869	249.0378576	216.3630401	309.7022589	349.5407909	67.38618637	317.5880949	374.4471191	314.7337654	343.629318	382.6390031	335.8860224	386.6372108	259.2055505	242.2789735	396.2603815	263.1963428	174.8788482	380.7292108	292.1695835	386.5102871	500.4757683	425.7920425	402.3106063	10.47295635	504.6942276	156.0449736	199.5673375	11.78263741	543.9984115	455.0685767	539.9262074	308.4431172	741.678235	563.0047473	588.4560733	187.1816134	713.243804	585.9133796	722.2344542	332.8394118	626.7642823	717.2503523	162.3833661	668.6301036	773.339392	475.0275044	718.6040307	718.7850365	579.9715379	1348.621996	797.4834337	894.9468604	205.5735863	162.8853459	834.3604033	108.4829024	0	1108.785493	1132.336377	1193.395701	1139.243932	1397.448286	1438.451545	1536.797726	1154.298992	24.72961339	150.6938285	1746.491205	1924.217559	1126.151771	308.9990613	3241.286552	1331.054959	2021.539865	769.6413188	1665.698407	2748.637235	2640.978861	3031.573199	193.5302849	2882.03713	102.374809	3326.929281	3173.111631	0	76.01043062	3166.999617	4444.465903	2608.942948	2154.435483	79.75197325	6018.698083	4588.815004	2163.249573	6972.304146	2488.476017	7039.056665	187.414143	5718.752475	26.96680751	4872.790574	2145.080007	7912.169543	11996.98473	513.1872305	6381.82123	10564.77865	26321.26544	7951.650535	59139.80997	42917.10906	436.360304	188776.8752
TOR	1	130.3546695	189.6449204	186.4579095	48.46542995	170.3398827	205.5214267	229.2416242	67.48822137	212.4438208	149.0991576	28.19563252	189.574156	71.9163701	159.3714323	220.5564255	219.2054859	0	242.6126202	204.0443278	245.9376416	237.9786853	68.24792075	308.2312387	214.5489442	277.4128571	261.15583	276.1138871	271.2588359	261.3897876	314.2593522	166.1627753	319.0497207	329.5084501	160.1233925	372.2813625	308.6634405	282.6485745	256.0221423	380.8771885	418.3676114	13.8189341	399.7006737	84.71527376	179.744804	27.10385011	396.950072	327.6877512	425.8152021	193.7377611	431.1160943	408.4420488	482.6240394	60.88611657	308.3892362	507.1769066	547.3058481	261.3079408	511.6458941	586.2249592	132.3728951	446.1269367	601.6798643	348.4621919	526.1186443	914.6750408	607.8844197	447.4024912	792.8539206	666.3238332	167.6619554	119.1840672	575.2965907	126.0606113	0	1055.598402	1179.986884	1094.639781	671.8380053	1194.443019	1055.469632	1207.845842	1065.20002	11.96915286	152.3329851	1364.892575	1400.896285	872.4890672	238.7620835	690.3266537	1001.120878	2059.398862	525.9183162	1261.567834	1602.631468	2098.238221	1953.42192	116.2877175	1590.071705	89.34159057	2466.317443	2611.10994	0	50.92502174	3076.845229	2917.149696	2157.287113	1629.127874	42.96276764	3879.548438	3726.244213	1889.690359	5384.112487	1966.868066	6781.672053	141.5357297	4347.019132	0	4237.559661	1812.278946	5917.67639	8739.964771	359.510929	4973.851085	7908.15972	20581.60668	6131.3075	46862.1667	34214.61541	225.0927993	147223.8015
FOR	1	135.6980639	138.8544635	34.13256497	47.85004821	87.35832329	103.1499229	167.4703872	136.7003301	161.2149795	111.0645611	79.50460508	192.7014936	129.3533837	114.0909234	76.99427272	171.4535072	0	107.4999685	122.3944705	208.4103141	111.1387769	119.5957809	179.4393608	107.5655046	180.9314817	35.82103156	238.7132293	104.9515416	208.1594235	109.4427976	105.0966755	176.9446858	170.5290376	205.2539849	360.6936684	104.5943123	182.0588238	91.03227087	247.4828454	123.3788938	8.805302146	346.0557667	175.3414872	244.2490694	15.4423475	213.7424863	536.5025332	598.7289	158.2499963	367.7557154	107.6206705	350.8559632	116.456582	333.6858138	513.7657509	484.7416845	171.0818812	123.0786037	444.0499882	127.1371287	197.4273146	481.1800253	119.198886	372.4507637	193.6415252	582.8358642	213.8629391	539.9685541	471.7119355	282.3044057	842.1021515	651.9502912	409.6658088	0	606.7630138	653.6693256	470.7357317	591.7043414	838.7535311	847.2064439	718.0767926	450.1596828	19.99394229	0.004313179	1049.572	939.3251687	1808.600631	679.5966682	481.3302291	609.1551885	782.3778666	998.5752355	58.33788392	743.5274903	1496.596399	1610.501302	317.8120033	638.4622302	56.58184621	1876.866625	2049.296263	3062.879877	3223.304441	564.5754865	3110.203439	428.7065473	1870.986825	44.31516274	3843.767105	2550.210654	1827.072673	5180.663005	1266.57951	292.834411	86.29336762	2552.004366	9324.644587	3924.82605	2301.92989	9367.713527	7321.940215	15713.8933	7362.413161	14221.8953	18379.26564	15816.42079	43302.22709	61796.04001	144.6497468	196346.1295
FOR	1	149.9100252	144.4476242	52.10455112	84.97247125	76.23141087	91.96434051	85.63204918	94.45843489	148.1257542	137.6611379	68.77142672	188.9245304	109.5187424	118.8023794	98.53480319	178.4396716	0	129.866523	146.343311	183.8960656	124.6522707	65.32598783	161.1086038	79.13076419	199.1963384	34.92850938	240.3164395	106.4089842	86.43532132	133.1581522	168.8341434	173.5433919	178.1332827	176.7092438	387.1895309	95.76882104	180.1441494	115.5309882	254.3502328	210.775831	3.407197685	309.6624527	140.6254804	192.0810501	25.59246942	253.094473	355.7398764	484.8323134	162.5584056	354.8474622	95.1916272	343.8995652	137.2075408	329.860609	467.9405883	425.1903957	260.7066426	89.1773347	525.4274288	131.0639581	228.8153292	492.9983929	104.0061812	425.5823551	193.5142963	275.0990004	152.4720109	522.1633753	494.2854162	168.3900128	923.8008856	423.1541196	378.0352488	0	488.8296828	653.2586073	323.7390312	703.1787211	976.1514062	936.486373	812.1432401	390.8092043	34.06100017	0.284365492	877.5728627	900.038725	1400.083277	525.6702598	568.4399271	561.7798593	762.8075141	753.5127057	53.42572325	800.6256734	1936.550006	1637.225983	400.1978023	632.652616	50.35579738	1986.037707	2155.917846	2596.284122	3579.232237	737.0353826	2839.611218	421.0607804	1417.371624	9.952367212	3668.591556	2021.830512	1440.976618	5338.935617	839.2245418	394.4883917	79.95968981	1888.507501	7637.248583	3331.925364	2239.922165	7741.367552	7901.315235	15068.11798	5536.5308	11790.1752	15721.6206	13096.73458	37726.45897	50980.42719	132.1407981	164847.9426
DMSO 	1	210.5642657	212.8821891	222.3935489	119.9727914	193.1765057	184.2140165	133.338454	55.25218226	224.3299165	141.5394497	7.36807317	117.9932807	51.48998973	225.4087729	248.1651075	207.3639517	0	115.1244415	113.6149118	238.7845039	284.9868663	72.99260984	243.1028974	221.3122271	294.5062063	243.9927014	306.6140846	215.7946231	298.3170329	334.652856	187.2070474	278.6582609	319.6149628	148.3079728	370.26466	269.1237323	324.8274409	516.6718873	370.816804	333.906695	0	406.5897038	38.77316248	104.001709	22.47146236	474.9057839	302.2743744	347.7178079	277.2386323	571.2951246	543.2549995	555.4091291	91.25182963	796.8402171	560.8695634	600.1167418	256.2191489	23.1966948	610.7856357	139.3355222	687.4898902	685.5441438	498.7427373	635.6121429	835.0084601	576.9991477	930.3598574	872.438172	732.0848745	165.7968212	92.54132746	585.514329	26.60050399	0	903.8662001	1269.844199	882.5254406	1124.811244	1370.706758	1286.294747	1363.391515	860.8211155	0	160.5623273	1657.871621	775.6328427	699.0599278	283.2592214	2822.347453	613.4159445	1853.269108	582.6252714	2557.861219	2267.991106	2444.960414	2361.199491	122.0539342	2500.114704	98.15520419	2682.057499	2753.329522	10.64990171	19.68324486	1235.107798	2418.10858	181.9164463	983.9886834	0	3476.187844	2898.312945	1369.205486	5806.283703	1898.477741	6660.913269	321.3697155	1004.732865	2.391687221	3975.468043	1664.627374	3618.006074	9291.989347	365.2337557	5785.240531	6309.472788	5774.605943	3827.155831	29751.67886	30353.08043	358.2034132	115261.4375
DMSO 	1	237.2832541	220.1985354	244.6389683	129.4595804	206.2786739	205.478145	142.9540485	76.7202777	234.5653277	116.1322348	22.98394293	162.6279194	48.42246107	308.8319373	254.4090581	244.7604825	0	248.0452878	281.0756419	274.7440747	311.0166388	46.57759894	271.3611624	311.1042346	329.7774382	280.9952519	322.190624	258.6252159	373.6726204	439.6073711	207.7415944	196.13981	193.1078359	155.9636834	348.8752609	298.0093972	352.254082	276.1598987	381.2330011	532.3108746	0	435.6740643	51.10737652	161.3895449	29.36627622	510.6583768	377.1860641	426.4437524	234.7661741	600.102235	555.8521568	581.5740658	77.68355394	556.895771	646.1303185	633.1559798	251.6663657	62.24149724	693.6480728	162.7161082	786.767182	643.7848917	435.5174059	752.3086169	467.8932274	555.3569618	727.2959804	726.8554248	713.2085402	187.822533	114.8834427	671.2950917	97.46542224	0	868.1630185	1098.365103	741.3144615	919.8921778	1293.751366	1326.741328	1266.115924	748.8655481	0	128.6005205	1837.375753	1078.872613	798.8571104	398.860259	1488.088788	609.7799547	1034.833461	673.5158924	2115.215358	2204.507953	2454.122582	2615.131558	164.1610631	2936.823779	97.44132188	2852.086021	2905.533399	11.02465968	75.11760572	1137.147739	2572.145383	258.598117	1194.970652	15.6329265	3704.039378	3404.217522	1688.334859	5937.959728	2329.342066	6804.980085	207.1915496	1246.179195	13.03393107	4637.227077	1830.785194	4128.307194	11044.20863	434.3152169	6848.027276	8006.901484	6817.547082	4768.771032	34415.18234	35857.5447	499.9406346	136648.4633
DMSO 	1	181.9810041	203.8280943	181.4353568	94.33192707	267.3442014	208.3006833	144.4284889	125.7618938	249.2361657	153.933238	19.97006235	197.0199694	68.66410594	219.9061422	262.0278016	272.0486143	0	114.0611255	101.9538491	334.7862765	256.0302795	82.86841546	318.4497556	290.8497353	334.0842091	319.7095909	361.7614432	236.0021913	353.3360658	266.7258078	292.8374972	314.3613543	207.8620942	137.2431507	388.8934528	373.0029061	362.975064	439.3840082	372.4564362	471.9315389	0	508.3947852	83.62355411	216.4561422	7.492516731	544.9941421	452.4094258	436.6974316	251.9262617	544.1616485	515.0588163	647.7605616	147.6805288	521.1079203	696.9740352	659.6854252	232.1021304	20.90249022	674.4387923	169.865568	629.4961336	797.542354	399.0053869	742.9311835	432.070551	733.4803772	449.4081091	741.9285922	744.1867066	230.0869089	96.16653552	717.7050117	75.88858426	0	1122.53185	1084.405779	1024.957118	840.7623356	1072.05877	1387.34631	1413.755896	915.8331611	17.02329915	91.59007274	1569.188189	1040.638071	1100.702674	593.9260184	1415.302999	736.9585906	1196.499109	886.9396793	1858.860248	2053.057907	2271.973512	2352.048018	140.8508721	2569.476714	117.0383966	2975.925441	3280.3465	0	106.0327282	1194.603303	3069.913769	202.0372381	1450.491785	0	4177.459851	3906.171905	1972.935387	6177.352177	2588.006028	5854.483925	114.1339767	1545.182193	3.71570819	5743.035064	2100.612285	4981.731392	11579.72918	410.6682971	8298.693178	9607.696946	7667.288057	5688.134698	39912.33907	44717.72666	334.5756868	157498.633
OCT	2	30.79301467	42.52493602	90.58785478	85.35942384	71.47486973	88.41415495	197.3047417	105.5143529	35.72992637	262.2305085	212.6956622	96.43668185	105.3774392	98.14726946	140.4792418	32.34604745	155.9932687	321.8024588	311.890448	19.41724275	137.3785949	228.9015463	103.2225763	201.9824318	137.5675505	110.200215	141.0212296	32.38476154	1.816036612	97.96891789	305.3160177	205.8541506	608.8001678	376.1680413	299.1433586	356.7201135	0.368760089	8.903807297	420.4053573	199.3488175	19.74030714	65.07875914	224.5399811	226.7835142	345.9428968	218.7174043	375.0415381	257.55294	390.83912	41.33127724	277.7007984	463.1205702	373.6933427	484.0462232	119.1477217	85.52710763	352.4890821	248.2339546	94.78308198	374.3022889	205.6649711	29.22571093	463.3789161	100.6454068	1109.636111	571.2677197	257.6493082	1234.805411	340.4220414	420.0493162	81.1546154	955.7426218	543.7255175	68.31992298	651.2042208	707.677891	781.1616188	1108.079819	780.7536859	30.63976485	51.48655811	887.2145445	931.5354398	970.532676	475.6275905	725.1546769	1071.238987	846.7207103	332.7537016	622.8636285	2322.781775	1554.489049	0	432.9922077	586.0107345	1956.198813	1347.418662	257.2982913	2082.655553	406.8378279	48.12359168	1.627269968	144.8178477	299.7270821	46.1076864	882.2888945	2707.401439	1231.012646	2936.75208	4380.267663	4052.78194	3358.951583	4507.136413	171.2817978	3714.218728	3417.061662	39.77540097	4091.387793	7279.261974	7792.355921	12052.8066	241.2783477	10048.83411	10883.23541	20834.0692	25398.48572	33859.20271	50120.56607	151.996136	220795.8605
OCT	2	22.8627542	33.50200098	75.79386408	220.59357	100.0569289	79.6684914	215.062216	100.125005	41.25300441	219.6154761	232.272038	101.8384534	80.38070258	134.2072179	244.3041414	36.89568435	134.2035178	252.9177934	275.4473437	18.03015045	129.3773647	17.83001322	139.3259924	224.2784708	88.05092664	173.0967599	155.9966191	263.3361815	74.18103724	76.27992326	406.6819577	142.6680403	291.3263554	361.8646649	332.5462775	345.831676	32.6529961	20.33956259	295.7405547	380.0359009	28.60086664	67.93136312	210.030655	239.3847048	457.8326055	351.4556548	352.3921873	289.0161691	558.6320295	37.86812517	258.9250713	278.6207112	281.5522996	417.9786666	137.9926386	26.84428479	563.2165437	274.1318564	123.3523438	405.5039701	169.1219356	32.88211513	441.7476528	88.62727456	540.3100774	617.7614276	224.0358705	544.5619073	347.089894	365.019274	68.38505889	877.0067676	474.8847437	82.92276452	776.5165142	573.5040255	811.685086	1167.840099	663.802045	35.02422212	63.86363613	822.5524346	721.9682305	782.105708	355.9763658	781.4445437	1080.129009	805.1655171	314.7733646	780.9851821	949.058255	1540.704693	54.89527663	1173.654148	510.2413792	2034.40486	1243.45963	185.9528906	2109.505396	406.2902714	93.72147817	0	175.3500991	795.7480485	35.06668417	1015.326014	2823.990473	1213.058329	2911.834984	4485.638161	3943.73918	3423.932036	4817.015033	320.6405241	7789.210446	3345.678834	76.06648991	4469.442117	7545.524593	7771.670064	12465.90458	286.9042346	10311.09868	11460.30716	20947.62985	23081.73874	36285.91247	48325.93662	149.1581754	223028.9063
OMC	2	40.67308758	45.98132897	69.63603935	124.1305006	73.11241852	91.31871593	177.2655336	85.85514137	34.34498015	227.5040537	170.0853294	92.92296164	75.43941614	118.6504855	89.64089142	43.26204826	107.9461564	142.7488508	124.6883212	16.57487852	67.91101209	112.960586	110.6050385	102.5137751	76.66411876	101.838165	122.6399097	100.8245781	42.23767248	58.69506106	355.8153234	140.6181824	177.1647245	310.4324897	288.5789861	329.3105798	43.7432521	11.150338	196.6846272	200.3926572	14.68751431	50.91077082	217.9712207	232.2603458	297.973657	222.9662708	326.2090194	241.0448318	393.4554582	55.36356462	364.6803444	316.6021178	356.7976615	356.6517632	138.4670223	72.58251294	402.0212728	127.9997401	144.3914787	340.9723054	192.7487117	19.69383446	364.7591607	87.02490212	246.1863222	531.5556236	148.5794466	320.721689	293.2027032	327.6881128	78.06681624	847.2527386	452.123156	65.5081403	468.109029	437.7639432	659.8292201	977.725522	657.5033416	38.01712646	62.04257205	786.528724	690.9513234	647.774113	380.7976324	620.1779242	891.1951095	615.0823714	256.4007425	787.2179562	554.664064	1117.163254	57.88940694	475.5670889	574.4745054	1875.211943	1161.018702	214.9873862	1782.213794	351.638231	54.35056807	20.45047989	106.9261231	403.7235825	12.26406594	496.0855143	2086.998415	680.9676723	2743.315539	4103.076285	3804.013014	3199.458515	4609.297804	226.990794	3603.365407	2144.5541	31.1930147	3914.900135	6108.37847	6009.471937	10924.37035	308.0689542	9039.773463	8981.291234	14759.53337	20646.91373	30764.3656	40732.02164	75.57845481	188842.1628
OMC	2	37.7990519	45.1998498	83.43238017	128.3243453	98.60286508	76.18839839	174.2382662	92.4218654	39.89523104	192.9668122	175.7827058	112.85493	77.59683285	126.5220976	113.9483663	32.78349588	122.0942595	149.4570144	141.5090304	5.52593879	83.09277886	136.4371108	124.8430379	91.27489618	73.25896851	69.74706875	132.8286953	126.8308024	38.92820879	57.81727462	379.8705445	167.4112488	173.7432265	294.7794349	203.4605716	309.3453871	63.76488781	7.307884477	221.8170235	269.6879894	15.68650356	67.69309469	194.7617285	269.0015278	334.5137527	129.6955158	345.935671	264.5581228	467.3132591	65.43881275	223.9862614	239.2865388	358.6823056	375.5605706	153.2612569	52.37877075	430.524289	111.3336448	116.7974095	362.6952726	217.6444884	34.21943835	409.2996049	107.4300642	297.3656944	581.9362201	165.5625597	394.33424	312.4688458	329.5890237	53.2520256	968.9191486	358.9764107	47.44841252	748.7834301	465.3577311	677.7554084	1043.451183	648.4389689	32.43532614	31.99946142	869.5764939	693.498716	891.3328274	433.1445167	699.4843646	1001.292662	688.8515909	260.3669336	741.7445726	668.1919971	1167.274396	87.78216773	601.2012997	537.8098635	1980.678846	1249.709751	165.5697573	2217.60854	331.3343069	61.14103034	12.68153352	108.2057595	394.1758302	79.33015859	502.7377849	2291.332142	741.1847068	2937.644071	4409.795222	3798.231044	3346.933785	4643.743577	75.96625876	4891.040397	2451.690473	35.92561541	4453.53654	6864.242742	6424.101339	12524.35726	203.7197652	9775.206395	10087.57886	15256.18846	21985.96479	33048.61842	43233.16882	89.93390718	196701.5652
OMC	2	46.44299369	47.93246382	49.17971295	85.37454911	70.20892702	107.9291799	140.6220915	86.59730658	34.15093571	229.9741156	181.39891	143.1476238	63.66799947	97.01358877	74.951475	27.85054291	149.6749714	211.2710971	184.6833407	9.995365559	76.97083691	210.7295046	144.2849991	87.31800909	54.85344464	49.64561492	142.6583944	170.2234096	35.13802738	36.47329801	152.6665542	170.153898	176.8584323	372.0183848	270.9917199	406.339595	36.73729431	17.02954691	216.8075034	284.9377038	21.45012559	56.30249665	174.4347753	272.1450822	336.2141998	170.4349707	321.4679409	252.3599293	347.484755	50.46784039	219.487094	221.1430233	303.725224	354.8734	151.1989332	81.53869467	386.9594216	247.815716	127.40148	330.2077298	202.1746367	30.29227911	344.7185175	92.38017106	226.9670457	626.1082088	172.2410327	376.471169	286.0629494	370.8657591	69.68938801	867.6020805	458.0646087	83.80653488	528.9502499	436.6093512	759.1988184	1100.913147	643.5394264	38.54562556	70.91464406	1002.302656	1130.665916	907.2702402	417.8241508	647.6509043	886.4412647	646.2973516	324.3371483	545.8046607	603.6547706	1065.824503	80.72025905	585.7239133	586.6615674	1941.886977	1345.009575	201.676995	1940.12442	365.2016099	35.51422638	7.129581028	84.61905862	1182.263942	46.69442096	1282.812707	2169.452119	1553.774492	2663.774149	4838.37111	3798.026679	3450.001617	3889.518818	255.7634684	4583.051508	3926.965438	20.87495921	4077.634924	7496.47216	5522.725076	11836.27331	144.9054584	10262.17759	10094.94951	22860.27238	21696.39083	31701.84639	41190.70737	89.87089725	196392.7639
ATC	2	26.17873616	37.00619854	80.65615088	64.26857321	66.38732568	70.3673383	176.55191	91.82224982	45.59278531	231.6444641	151.1014296	132.4631628	62.15647133	113.9012888	202.2236836	36.81144694	113.4260926	207.0486829	242.5468893	10.74048783	114.9871505	135.2208607	4.784910077	179.3373309	86.70118516	121.6049383	173.5443458	209.568042	38.32163037	46.94799663	272.0524567	217.9487796	216.3340079	372.7611046	182.8245543	290.2166451	23.04060637	9.243468349	277.7450171	371.088616	11.80455405	52.6941367	189.3085281	240.3161698	463.6393748	202.624589	361.3010576	259.3907168	440.0052528	65.93816098	350.035195	312.7139417	387.9672652	379.5654125	118.4076794	41.91335824	364.5355993	153.7547282	131.9797424	346.6276602	181.5546569	18.54768302	384.2810674	98.61918215	366.1952885	588.0861708	146.2477284	407.4751707	362.6699544	383.5219485	39.25079469	853.30331	520.2801327	62.25886117	457.8351808	485.762913	724.9191027	1082.413938	756.6728304	31.54993931	58.50259315	798.6921406	764.0290144	667.0749964	463.119829	617.0409766	1065.778937	850.6884924	246.6636024	556.5900407	1202.970142	1443.755763	120.1632991	695.0876166	585.4899724	1796.514833	1227.12281	164.9940518	1769.020242	343.6334675	80.1436391	13.27021315	154.3111861	640.5857524	27.05009695	780.7011188	2545.94798	1030.375569	2403.422977	4213.612851	4098.330851	3112.08868	2676.39518	308.6051955	3535.775101	3189.554185	6.435118259	4027.407703	6320.541917	6954.887986	12359.77059	241.5019234	10171.24543	10112.16468	18734.08882	23594.01034	28958.40929	48561.93059	27615.10483	205459.0447
ATC	2	47.50318257	45.31665748	94.17715853	60.66160205	65.66317737	65.08502035	180.0822144	91.13271427	46.45804313	207.8906427	148.5517575	99.82998327	90.09962241	108.9523935	157.5065784	28.10158585	124.261686	177.2099997	174.6673587	6.119267931	91.48143245	150.8642914	39.22346181	159.4364771	89.95474595	155.3453378	134.6546511	190.1574953	43.23772628	53.2813808	213.430293	166.7372906	178.0563441	317.853933	193.8906862	313.8939823	44.54003816	11.73385952	223.9808233	265.2820625	7.772610875	54.21345433	158.8532417	194.9544965	441.9655954	141.9712138	334.4168885	245.9752298	393.8560718	49.27483399	357.1414364	217.0362169	222.1460759	370.4048984	98.33372911	61.84726036	319.6764596	173.7347557	111.6388303	276.1188791	157.3684866	23.51855909	323.7310695	105.0904815	300.8172968	571.4890515	142.9067766	347.8300408	347.3545309	350.7906523	36.6288269	806.5317899	357.8510682	67.57840094	429.9948617	450.9826991	718.6666166	991.3705715	686.9799067	49.14520698	44.72743263	773.1496471	697.4244837	787.1278066	335.4565737	602.5239115	863.6933524	701.6879279	252.8643173	558.1637712	890.8766447	1395.030047	88.69061836	643.0779574	534.6056743	1651.617936	1019.974442	168.5950352	1703.417384	325.4081645	49.5904361	0	95.34579704	539.317339	41.88747732	674.0314175	2307.874847	877.1445718	2231.795508	4023.0331	3709.445579	3043.572955	2566.214663	235.4129613	3188.522057	2837.160506	20.88476242	3959.762365	5717.14362	6356.093458	11580.56547	159.9388684	9560.93535	9613.059771	17257.89205	22058.41237	27049.97171	44535.55177	27591.18492	194239.4233
LIN	2	61.40628422	25.56615932	96.73417972	92.56243828	71.7954813	91.78794582	179.9344725	65.38713465	34.40244915	218.0081101	143.0081205	100.1067274	44.35320542	140.6062707	104.1408301	37.4247776	98.60326908	155.2159799	132.4266906	19.16928636	78.66074647	8.363011357	103.9888169	90.52165091	89.46630839	55.11562311	127.2333784	110.1544727	57.62571046	54.09078673	233.461902	164.2328359	149.3160526	339.8342499	209.712831	262.6648141	51.76830559	6.987606907	215.9735014	205.0898075	13.15015129	50.77501379	134.1513357	212.8966858	193.6486323	222.3387268	275.376013	222.711343	366.7988083	43.68911298	360.6955502	321.4507921	441.2602296	341.5032819	104.2693153	56.85657227	257.6033877	130.8409868	141.8108715	412.0593019	196.7156986	27.55023396	311.2294872	86.64804098	349.4974234	476.382788	159.8217896	293.4752015	299.6621241	309.3280366	101.0003908	833.9200274	497.5006331	130.6145774	566.1507377	449.1249307	573.9853348	966.3844806	749.6909389	35.73520834	37.52346451	866.696388	722.9997725	597.8739256	354.6018943	538.0621507	802.1117319	551.478678	209.7906731	484.6060946	723.8283262	847.652117	38.25674775	617.9243104	456.9590401	1837.810444	916.6917549	223.3065262	1542.070614	348.472273	49.86265947	0.217888268	89.724754	198.9252595	20.16551836	448.974355	1927.158691	904.8881748	2145.455264	3883.610011	3422.877	3036.672016	4557.800588	219.0923801	648.8158798	2110.525194	12.37792091	3170.785114	6068.2982	4609.858745	10738.99387	185.0485289	8202.353011	8081.76291	17588.83807	18924.24872	28893.96544	32895.80108	70.69213651	175329.0212
